State,County,Year,Unemployment,Median household income,Adult obesity,Poor mental health days,Premature death
AK,Anchorage Borough,1/1/2014,0.054,71094,0.257,3.0,6827.0
AK,Anchorage Borough,1/1/2015,0.05,76362,0.268,3.0,6856.0
AK,Bethel Census Area,1/1/2014,0.152,41722,0.315,2.6,13345.0
AK,Bethel Census Area,1/1/2015,0.154,42876,0.324,2.6,12864.0
AK,Dillingham Census Area,1/1/2014,0.096,47498,0.318,2.3,9699.0
AK,Dillingham Census Area,1/1/2015,0.095,47930,0.316,2.3,15057.0
AK,Fairbanks North Star Borough,1/1/2014,0.062,63979,0.291,3.0,5740.0
AK,Fairbanks North Star Borough,1/1/2015,0.058,67204,0.285,3.0,5862.0
AK,Haines Borough,1/1/2015,0.079,55295,0.284,2.0,7745.0
AK,Juneau Borough,1/1/2014,0.049,76967,0.26,3.0,5867.0
AK,Juneau Borough,1/1/2015,0.046,83642,0.269,3.0,6418.0
AK,Kenai Peninsula Borough,1/1/2014,0.084,60431,0.275,3.0,8656.0
AK,Kenai Peninsula Borough,1/1/2015,0.075,61629,0.275,3.0,6917.0
AK,Ketchikan Gateway Borough,1/1/2014,0.068,61296,0.292,3.2,8422.0
AK,Ketchikan Gateway Borough,1/1/2015,0.061,62619,0.28,3.2,7269.0
AK,Kodiak Island Borough,1/1/2014,0.062,61498,0.301,2.1,6891.0
AK,Kodiak Island Borough,1/1/2015,0.056,64782,0.315,2.1,6075.0
AK,Matanuska-Susitna Borough,1/1/2014,0.08,68109,0.298,3.3,6519.0
AK,Matanuska-Susitna Borough,1/1/2015,0.073,72371,0.298,3.3,6983.0
AK,Nome Census Area,1/1/2014,0.116,47022,0.356,2.4,17794.0
AK,Nome Census Area,1/1/2015,0.117,46471,0.341,2.4,15939.0
AK,North Slope Borough,1/1/2014,0.053,69138,0.356,1.7,10564.0
AK,North Slope Borough,1/1/2015,0.05,74174,0.342,1.7,8471.0
AK,Northwest Arctic Borough,1/1/2014,0.151,52945,0.297,1.8,13604.0
AK,Northwest Arctic Borough,1/1/2015,0.152,54600,0.297,1.8,12342.0
AK,Prince of Wales-Outer Ketchikan Census Area,1/1/2014,0.141,44721,0.337,2.8,8689.0
AK,Prince of Wales-Outer Ketchikan Census Area,1/1/2015,0.128,48175,0.355,2.8,9718.0
AK,Sitka Borough,1/1/2014,0.056,61771,0.282,2.5,7377.0
AK,Sitka Borough,1/1/2015,0.052,66038,0.288,2.5,8419.0
AK,Skagway-Hoonah-Angoon Census Area,1/1/2014,0.14,48137,0.302,1.9,10398.0
AK,Skagway-Hoonah-Angoon Census Area,1/1/2015,0.127,49138,0.309,1.9,6775.0
AK,Southeast Fairbanks Census Area,1/1/2014,0.112,56456,0.317,2.2,5734.0
AK,Southeast Fairbanks Census Area,1/1/2015,0.111,54922,0.325,2.2,7098.0
AK,Valdez-Cordova Census Area,1/1/2014,0.089,65098,0.283,3.4,7734.0
AK,Valdez-Cordova Census Area,1/1/2015,0.087,63541,0.297,3.4,5754.0
AK,Wade Hampton Census Area,1/1/2014,0.215,32860,0.276,3.5,18391.0
AK,Wade Hampton Census Area,1/1/2015,0.221,31274,0.346,3.5,18440.0
AK,Wrangell-Petersburg Census Area,1/1/2014,0.098,53745,0.309,3.3,9208.0
AK,Wrangell-Petersburg Census Area,1/1/2015,0.092,54624,0.301,3.3,5807.0
AK,Yukon-Koyukuk Census Area,1/1/2014,0.147,33998,0.29,2.5,16527.0
AK,Yukon-Koyukuk Census Area,1/1/2015,0.148,35114,0.263,2.5,16555.0
AL,Autauga County,1/1/2014,0.065,51441,0.305,3.6,8376.0
AL,Autauga County,1/1/2015,0.057,51868,0.313,3.6,8405.0
AL,Baldwin County,1/1/2014,0.068,48867,0.266,3.8,7770.0
AL,Baldwin County,1/1/2015,0.058,47539,0.25,3.8,7457.0
AL,Barbour County,1/1/2014,0.112,30287,0.373,4.3,9458.0
AL,Barbour County,1/1/2015,0.1,30981,0.384,4.3,8901.0
AL,Bibb County,1/1/2014,0.076,37392,0.343,5.1,11544.0
AL,Bibb County,1/1/2015,0.068,39781,0.373,5.1,10729.0
AL,Blount County,1/1/2014,0.062,44225,0.304,3.9,8506.0
AL,Blount County,1/1/2015,0.056,44392,0.309,3.9,8669.0
AL,Butler County,1/1/2014,0.109,30605,0.383,3.5,11006.0
AL,Butler County,1/1/2015,0.093,31041,0.384,3.5,10357.0
AL,Calhoun County,1/1/2014,0.076,39212,0.332,5.1,11097.0
AL,Calhoun County,1/1/2015,0.073,37898,0.315,5.1,10539.0
AL,Chambers County,1/1/2014,0.093,32320,0.354,4.3,10368.0
AL,Chambers County,1/1/2015,0.073,33883,0.397,4.3,11864.0
AL,Cherokee County,1/1/2014,0.071,37868,0.314,5.2,9409.0
AL,Cherokee County,1/1/2015,0.057,37478,0.303,5.2,10513.0
AL,Chilton County,1/1/2014,0.065,39621,0.383,4.9,10330.0
AL,Chilton County,1/1/2015,0.058,41348,0.37,4.9,10911.0
AL,Choctaw County,1/1/2014,0.09,33390,0.389,4.6,11985.0
AL,Choctaw County,1/1/2015,0.078,33581,0.402,4.6,13412.0
AL,Clarke County,1/1/2014,0.121,34606,0.36,3.0,9309.0
AL,Clarke County,1/1/2015,0.108,34593,0.352,3.0,10709.0
AL,Clay County,1/1/2014,0.093,34579,0.353,5.3,9915.0
AL,Clay County,1/1/2015,0.082,33344,0.374,5.3,8959.0
AL,Cleburne County,1/1/2014,0.069,38235,0.313,5.2,10738.0
AL,Cleburne County,1/1/2015,0.062,40407,0.304,5.2,10438.0
AL,Coffee County,1/1/2014,0.062,45631,0.299,3.6,8403.0
AL,Coffee County,1/1/2015,0.062,44666,0.285,3.6,8015.0
AL,Colbert County,1/1/2014,0.076,39771,0.322,4.8,10591.0
AL,Colbert County,1/1/2015,0.068,40032,0.339,4.8,10657.0
AL,Conecuh County,1/1/2014,0.116,27110,0.363,5.2,12942.0
AL,Conecuh County,1/1/2015,0.103,27196,0.391,5.2,13362.0
AL,Coosa County,1/1/2014,0.082,32960,0.343,4.6,11435.0
AL,Coosa County,1/1/2015,0.081,35175,0.372,4.6,12160.0
AL,Covington County,1/1/2014,0.075,34017,0.338,5.2,9830.0
AL,Covington County,1/1/2015,0.072,35187,0.323,5.2,9667.0
AL,Crenshaw County,1/1/2014,0.072,33648,0.357,3.8,9645.0
AL,Crenshaw County,1/1/2015,0.063,34105,0.371,3.8,9103.0
AL,Cullman County,1/1/2014,0.064,37938,0.324,4.4,9060.0
AL,Cullman County,1/1/2015,0.055,40142,0.344,4.4,8967.0
AL,Dale County,1/1/2014,0.073,40125,0.353,3.9,8912.0
AL,Dale County,1/1/2015,0.071,41805,0.344,3.9,8571.0
AL,Dallas County,1/1/2014,0.137,27400,0.414,3.6,12899.0
AL,Dallas County,1/1/2015,0.127,27524,0.417,3.6,12349.0
AL,DeKalb County,1/1/2014,0.085,37644,0.324,4.9,9153.0
AL,DeKalb County,1/1/2015,0.07,36713,0.321,4.9,9413.0
AL,Elmore County,1/1/2014,0.068,52324,0.306,4.4,8604.0
AL,Elmore County,1/1/2015,0.06,51650,0.301,4.4,8198.0
AL,Escambia County,1/1/2014,0.089,33588,0.369,4.7,10538.0
AL,Escambia County,1/1/2015,0.08,33455,0.383,4.7,11112.0
AL,Etowah County,1/1/2014,0.072,35737,0.318,5.0,11524.0
AL,Etowah County,1/1/2015,0.065,38587,0.338,5.0,11057.0
AL,Fayette County,1/1/2014,0.08,35720,0.364,5.2,11965.0
AL,Fayette County,1/1/2015,0.073,35661,0.363,5.2,11627.0
AL,Franklin County,1/1/2014,0.082,33173,0.343,4.4,10556.0
AL,Franklin County,1/1/2015,0.077,33332,0.335,4.4,11761.0
AL,Geneva County,1/1/2014,0.069,33347,0.34,3.4,9114.0
AL,Geneva County,1/1/2015,0.065,35378,0.345,3.4,9086.0
AL,Greene County,1/1/2014,0.114,24592,0.479,5.3,10935.0
AL,Greene County,1/1/2015,0.101,25864,0.481,5.3,11968.0
AL,Hale County,1/1/2014,0.099,31025,0.416,4.1,13943.0
AL,Hale County,1/1/2015,0.099,33597,0.362,4.1,10098.0
AL,Henry County,1/1/2014,0.073,37108,0.346,3.5,9577.0
AL,Henry County,1/1/2015,0.068,41590,0.341,3.5,10462.0
AL,Houston County,1/1/2014,0.07,40609,0.349,4.3,8370.0
AL,Houston County,1/1/2015,0.062,39636,0.329,4.3,8128.0
AL,Jackson County,1/1/2014,0.071,39618,0.3,5.3,11018.0
AL,Jackson County,1/1/2015,0.063,37204,0.29,5.3,11273.0
AL,Jefferson County,1/1/2014,0.068,43967,0.322,3.9,10485.0
AL,Jefferson County,1/1/2015,0.06,45024,0.329,3.9,10235.0
AL,Lamar County,1/1/2014,0.076,33940,0.313,6.0,10051.0
AL,Lamar County,1/1/2015,0.069,36475,0.328,6.0,8782.0
AL,Lauderdale County,1/1/2014,0.067,41536,0.322,3.6,8601.0
AL,Lauderdale County,1/1/2015,0.061,43586,0.312,3.6,9141.0
AL,Lawrence County,1/1/2014,0.081,38524,0.377,5.5,10855.0
AL,Lawrence County,1/1/2015,0.073,40713,0.386,5.5,11348.0
AL,Lee County,1/1/2014,0.063,43182,0.32,5.2,7014.0
AL,Lee County,1/1/2015,0.052,44647,0.3,5.2,6771.0
AL,Limestone County,1/1/2014,0.062,49616,0.338,3.1,7448.0
AL,Limestone County,1/1/2015,0.055,50148,0.334,3.1,8038.0
AL,Lowndes County,1/1/2014,0.141,28544,0.438,4.2,15671.0
AL,Lowndes County,1/1/2015,0.119,29734,0.437,4.2,14513.0
AL,Macon County,1/1/2014,0.098,27709,0.392,2.9,13906.0
AL,Macon County,1/1/2015,0.086,29228,0.417,2.9,10274.0
AL,Madison County,1/1/2014,0.062,57072,0.3,3.5,7760.0
AL,Madison County,1/1/2015,0.055,58258,0.306,3.5,7579.0
AL,Marengo County,1/1/2014,0.094,31888,0.416,4.5,9873.0
AL,Marengo County,1/1/2015,0.081,33749,0.423,4.5,10881.0
AL,Marion County,1/1/2014,0.091,32237,0.33,4.3,10664.0
AL,Marion County,1/1/2015,0.079,34162,0.341,4.3,12632.0
AL,Marshall County,1/1/2014,0.07,36960,0.315,4.8,10232.0
AL,Marshall County,1/1/2015,0.061,38399,0.339,4.8,10388.0
AL,Mobile County,1/1/2014,0.084,39546,0.339,4.8,10188.0
AL,Mobile County,1/1/2015,0.075,42278,0.359,4.8,10201.0
AL,Monroe County,1/1/2014,0.123,36221,0.359,5.0,10722.0
AL,Monroe County,1/1/2015,0.114,32696,0.363,5.0,11068.0
AL,Montgomery County,1/1/2014,0.077,41430,0.353,3.8,9321.0
AL,Montgomery County,1/1/2015,0.069,44013,0.346,3.8,9032.0
AL,Morgan County,1/1/2014,0.07,44766,0.285,4.0,8920.0
AL,Morgan County,1/1/2015,0.06,44079,0.302,4.0,9346.0
AL,Perry County,1/1/2014,0.129,25215,0.389,4.2,13473.0
AL,Perry County,1/1/2015,0.129,25461,0.387,4.2,13155.0
AL,Pickens County,1/1/2014,0.09,31433,0.385,3.3,11568.0
AL,Pickens County,1/1/2015,0.08,32314,0.401,3.3,10335.0
AL,Pike County,1/1/2014,0.07,32411,0.36,3.8,10834.0
AL,Pike County,1/1/2015,0.066,35944,0.353,3.8,10818.0
AL,Randolph County,1/1/2014,0.089,35024,0.342,4.8,11073.0
AL,Randolph County,1/1/2015,0.074,35121,0.341,4.8,10542.0
AL,Russell County,1/1/2014,0.091,34310,0.365,5.0,12305.0
AL,Russell County,1/1/2015,0.075,35762,0.342,5.0,11483.0
AL,Shelby County,1/1/2014,0.05,67244,0.296,3.6,6212.0
AL,Shelby County,1/1/2015,0.044,68718,0.315,3.6,6415.0
AL,St. Clair County,1/1/2014,0.064,50989,0.329,4.0,9241.0
AL,St. Clair County,1/1/2015,0.056,52437,0.317,4.0,9641.0
AL,Sumter County,1/1/2014,0.116,24059,0.401,5.4,10937.0
AL,Sumter County,1/1/2015,0.099,24504,0.404,5.4,11185.0
AL,Talladega County,1/1/2014,0.081,34785,0.384,5.1,11323.0
AL,Talladega County,1/1/2015,0.071,38505,0.38,5.1,10790.0
AL,Tallapoosa County,1/1/2014,0.085,36463,0.351,5.2,9864.0
AL,Tallapoosa County,1/1/2015,0.077,37747,0.356,5.2,9350.0
AL,Tuscaloosa County,1/1/2014,0.066,41495,0.332,4.1,9446.0
AL,Tuscaloosa County,1/1/2015,0.058,45959,0.329,4.1,8828.0
AL,Walker County,1/1/2014,0.075,36600,0.36,6.5,14300.0
AL,Walker County,1/1/2015,0.066,37193,0.334,6.5,14814.0
AL,Washington County,1/1/2014,0.114,39173,0.359,3.2,11045.0
AL,Washington County,1/1/2015,0.102,41115,0.361,3.2,10616.0
AL,Wilcox County,1/1/2014,0.164,22126,0.416,3.6,12975.0
AL,Wilcox County,1/1/2015,0.156,23184,0.428,3.6,14288.0
AL,Winston County,1/1/2014,0.098,32663,0.357,6.5,12621.0
AL,Winston County,1/1/2015,0.089,33578,0.334,6.5,12199.0
AR,Arkansas County,1/1/2014,0.077,37907,0.354,4.0,11046.0
AR,Arkansas County,1/1/2015,0.067,38497,0.351,4.0,10967.0
AR,Ashley County,1/1/2014,0.125,39276,0.38,3.0,10381.0
AR,Ashley County,1/1/2015,0.118,36479,0.361,3.0,10281.0
AR,Baxter County,1/1/2014,0.077,35315,0.285,4.1,9680.0
AR,Baxter County,1/1/2015,0.081,36082,0.293,4.1,10363.0
AR,Benton County,1/1/2014,0.057,52717,0.276,3.0,6504.0
AR,Benton County,1/1/2015,0.057,56518,0.272,3.0,6466.0
AR,Boone County,1/1/2014,0.071,35848,0.273,4.0,8359.0
AR,Boone County,1/1/2015,0.074,38410,0.263,4.0,7392.0
AR,Bradley County,1/1/2014,0.101,31940,0.34,3.7,9604.0
AR,Bradley County,1/1/2015,0.091,31733,0.347,3.7,9724.0
AR,Carroll County,1/1/2014,0.055,34096,0.287,4.1,9288.0
AR,Carroll County,1/1/2015,0.057,34109,0.335,4.1,9702.0
AR,Chicot County,1/1/2014,0.104,26911,0.368,3.9,11700.0
AR,Chicot County,1/1/2015,0.109,28006,0.385,3.9,9344.0
AR,Clark County,1/1/2014,0.093,34482,0.326,2.6,8242.0
AR,Clark County,1/1/2015,0.09,36517,0.325,2.6,10413.0
AR,Clay County,1/1/2014,0.124,32642,0.32,3.4,8680.0
AR,Clay County,1/1/2015,0.114,33488,0.317,3.4,11511.0
AR,Cleburne County,1/1/2014,0.072,41337,0.288,4.5,9823.0
AR,Cleburne County,1/1/2015,0.077,41612,0.28,4.5,9167.0
AR,Cleveland County,1/1/2014,0.07,41338,0.349,4.9,7916.0
AR,Cleveland County,1/1/2015,0.079,42414,0.354,4.9,7779.0
AR,Columbia County,1/1/2014,0.085,35024,0.335,4.6,10652.0
AR,Columbia County,1/1/2015,0.091,36927,0.37,4.6,10386.0
AR,Conway County,1/1/2014,0.076,35832,0.357,6.2,11272.0
AR,Conway County,1/1/2015,0.081,38145,0.397,6.2,10864.0
AR,Craighead County,1/1/2014,0.067,42437,0.341,3.5,8849.0
AR,Craighead County,1/1/2015,0.069,41608,0.34,3.5,8571.0
AR,Crawford County,1/1/2014,0.074,39367,0.359,4.4,9795.0
AR,Crawford County,1/1/2015,0.078,39384,0.377,4.4,9902.0
AR,Crittenden County,1/1/2014,0.112,36588,0.381,4.2,13082.0
AR,Crittenden County,1/1/2015,0.108,37726,0.382,4.2,12604.0
AR,Cross County,1/1/2014,0.082,35839,0.365,4.5,10713.0
AR,Cross County,1/1/2015,0.083,35438,0.375,4.5,12259.0
AR,Desha County,1/1/2014,0.105,30298,0.369,4.2,12344.0
AR,Desha County,1/1/2015,0.105,30241,0.365,4.2,12971.0
AR,Drew County,1/1/2014,0.108,33682,0.323,4.7,9634.0
AR,Drew County,1/1/2015,0.106,35249,0.319,4.7,8889.0
AR,Faulkner County,1/1/2014,0.066,49843,0.294,3.5,7296.0
AR,Faulkner County,1/1/2015,0.07,49936,0.3,3.5,7559.0
AR,Franklin County,1/1/2014,0.067,39763,0.336,5.0,8643.0
AR,Franklin County,1/1/2015,0.07,38874,0.352,5.0,11392.0
AR,Fulton County,1/1/2014,0.068,31988,0.311,3.3,11688.0
AR,Fulton County,1/1/2015,0.073,33439,0.319,3.3,11468.0
AR,Garland County,1/1/2014,0.075,39617,0.283,5.3,9962.0
AR,Garland County,1/1/2015,0.078,39057,0.309,5.3,10279.0
AR,Grant County,1/1/2014,0.065,47421,0.361,5.0,9069.0
AR,Grant County,1/1/2015,0.068,47089,0.358,5.0,9205.0
AR,Greene County,1/1/2014,0.088,38771,0.378,3.3,10162.0
AR,Greene County,1/1/2015,0.089,40840,0.339,3.3,9689.0
AR,Hempstead County,1/1/2014,0.072,32292,0.363,3.9,9490.0
AR,Hempstead County,1/1/2015,0.075,33715,0.391,3.9,9228.0
AR,Hot Spring County,1/1/2014,0.065,41754,0.334,5.8,9973.0
AR,Hot Spring County,1/1/2015,0.073,39927,0.326,5.8,9185.0
AR,Howard County,1/1/2014,0.071,33049,0.357,3.1,10035.0
AR,Howard County,1/1/2015,0.073,32740,0.369,3.1,10956.0
AR,Independence County,1/1/2014,0.087,37818,0.298,4.4,10758.0
AR,Independence County,1/1/2015,0.092,37761,0.309,4.4,8955.0
AR,Izard County,1/1/2014,0.082,29663,0.303,6.0,10890.0
AR,Izard County,1/1/2015,0.089,33308,0.33,6.0,10149.0
AR,Jackson County,1/1/2014,0.096,30604,0.371,4.7,9817.0
AR,Jackson County,1/1/2015,0.102,32923,0.411,4.7,11257.0
AR,Jefferson County,1/1/2014,0.094,36346,0.4,4.1,10829.0
AR,Jefferson County,1/1/2015,0.104,36169,0.386,4.1,10277.0
AR,Johnson County,1/1/2014,0.068,34322,0.349,3.4,8814.0
AR,Johnson County,1/1/2015,0.076,33634,0.324,3.4,8607.0
AR,Lafayette County,1/1/2014,0.099,28857,0.309,5.2,13601.0
AR,Lafayette County,1/1/2015,0.104,30642,0.325,5.2,15588.0
AR,Lee County,1/1/2014,0.113,26046,0.346,4.0,11695.0
AR,Lee County,1/1/2015,0.112,27068,0.354,4.0,12107.0
AR,Lincoln County,1/1/2014,0.091,36222,0.329,3.0,8897.0
AR,Lincoln County,1/1/2015,0.09,36062,0.338,3.0,7688.0
AR,Little River County,1/1/2014,0.069,35406,0.329,4.0,11542.0
AR,Little River County,1/1/2015,0.08,36310,0.312,4.0,8654.0
AR,Logan County,1/1/2014,0.076,33850,0.332,2.9,10381.0
AR,Logan County,1/1/2015,0.079,34090,0.347,2.9,9735.0
AR,Lonoke County,1/1/2014,0.061,51212,0.312,3.9,9021.0
AR,Lonoke County,1/1/2015,0.064,55648,0.335,3.9,8846.0
AR,Madison County,1/1/2014,0.053,33428,0.328,2.1,7858.0
AR,Madison County,1/1/2015,0.058,36358,0.333,2.1,8010.0
AR,Marion County,1/1/2014,0.081,31516,0.326,4.2,10385.0
AR,Marion County,1/1/2015,0.084,34217,0.309,4.2,8550.0
AR,Miller County,1/1/2014,0.067,38225,0.336,4.2,9612.0
AR,Miller County,1/1/2015,0.074,40005,0.327,4.2,10243.0
AR,Mississippi County,1/1/2014,0.1,34058,0.391,4.8,13682.0
AR,Mississippi County,1/1/2015,0.11,34285,0.387,4.8,12889.0
AR,Montgomery County,1/1/2014,0.077,32779,0.296,4.6,9635.0
AR,Montgomery County,1/1/2015,0.08,31763,0.306,4.6,8109.0
AR,Nevada County,1/1/2014,0.069,32107,0.344,10.1,9517.0
AR,Nevada County,1/1/2015,0.077,33341,0.329,10.1,10436.0
AR,Newton County,1/1/2014,0.075,29316,0.363,3.7,12184.0
AR,Newton County,1/1/2015,0.076,31824,0.36,3.7,11281.0
AR,Ouachita County,1/1/2014,0.095,32749,0.398,6.1,14039.0
AR,Ouachita County,1/1/2015,0.094,35006,0.378,6.1,11793.0
AR,Perry County,1/1/2014,0.08,40119,0.338,4.1,9295.0
AR,Perry County,1/1/2015,0.089,42328,0.331,4.1,9120.0
AR,Phillips County,1/1/2014,0.109,26013,0.38,5.0,14286.0
AR,Phillips County,1/1/2015,0.112,25894,0.4,5.0,13717.0
AR,Pike County,1/1/2014,0.087,33144,0.336,3.1,7886.0
AR,Pike County,1/1/2015,0.088,35592,0.351,3.1,7811.0
AR,Poinsett County,1/1/2014,0.078,32248,0.357,6.6,13684.0
AR,Poinsett County,1/1/2015,0.083,34113,0.357,6.6,13330.0
AR,Polk County,1/1/2014,0.077,31749,0.331,4.0,11004.0
AR,Polk County,1/1/2015,0.079,31818,0.325,4.0,9687.0
AR,Pope County,1/1/2014,0.071,40206,0.352,3.2,8523.0
AR,Pope County,1/1/2015,0.078,39704,0.348,3.2,8177.0
AR,Prairie County,1/1/2014,0.073,36191,0.328,3.1,11406.0
AR,Prairie County,1/1/2015,0.068,38921,0.345,3.1,11987.0
AR,Pulaski County,1/1/2014,0.066,44819,0.331,3.3,9374.0
AR,Pulaski County,1/1/2015,0.069,46526,0.329,3.3,9170.0
AR,Randolph County,1/1/2014,0.099,33870,0.342,5.2,10455.0
AR,Randolph County,1/1/2015,0.094,33148,0.352,5.2,8824.0
AR,Saline County,1/1/2014,0.06,57787,0.315,4.2,7307.0
AR,Saline County,1/1/2015,0.062,54921,0.315,4.2,7203.0
AR,Scott County,1/1/2014,0.066,30630,0.294,4.2,9091.0
AR,Scott County,1/1/2015,0.064,32404,0.311,4.2,8796.0
AR,Searcy County,1/1/2014,0.077,26330,0.302,5.0,8152.0
AR,Searcy County,1/1/2015,0.077,27299,0.312,5.0,9538.0
AR,Sebastian County,1/1/2014,0.073,38730,0.298,3.6,8897.0
AR,Sebastian County,1/1/2015,0.076,41685,0.31,3.6,8675.0
AR,Sevier County,1/1/2014,0.078,32662,0.379,3.7,8916.0
AR,Sevier County,1/1/2015,0.078,33698,0.387,3.7,9697.0
AR,Sharp County,1/1/2014,0.099,30076,0.303,6.6,11104.0
AR,Sharp County,1/1/2015,0.103,31224,0.302,6.6,12984.0
AR,St. Francis County,1/1/2014,0.11,32932,0.386,5.9,10895.0
AR,St. Francis County,1/1/2015,0.11,29011,0.395,5.9,10358.0
AR,Stone County,1/1/2014,0.097,28442,0.342,5.6,10806.0
AR,Stone County,1/1/2015,0.108,27522,0.348,5.6,11111.0
AR,Union County,1/1/2014,0.086,40026,0.309,4.2,11763.0
AR,Union County,1/1/2015,0.085,38132,0.363,4.2,9992.0
AR,Van Buren County,1/1/2014,0.089,35876,0.332,4.1,9260.0
AR,Van Buren County,1/1/2015,0.091,35111,0.344,4.1,8657.0
AR,Washington County,1/1/2014,0.054,41856,0.286,3.2,7119.0
AR,Washington County,1/1/2015,0.056,43302,0.292,3.2,6883.0
AR,White County,1/1/2014,0.08,40950,0.334,3.1,8633.0
AR,White County,1/1/2015,0.087,43363,0.339,3.1,8918.0
AR,Yell County,1/1/2014,0.06,38322,0.325,3.6,10026.0
AR,Yell County,1/1/2015,0.063,34679,0.343,3.6,9601.0
AZ,Apache County,1/1/2014,0.196,32886,0.318,4.3,14039.0
AZ,Apache County,1/1/2015,0.198,30252,0.319,4.3,14350.0
AZ,Cochise County,1/1/2014,0.082,43017,0.247,3.8,7828.0
AZ,Cochise County,1/1/2015,0.088,45294,0.236,3.8,7412.0
AZ,Coconino County,1/1/2014,0.081,45509,0.233,3.1,7342.0
AZ,Coconino County,1/1/2015,0.081,48732,0.24,3.1,7744.0
AZ,Gila County,1/1/2014,0.094,38267,0.263,5.5,10843.0
AZ,Gila County,1/1/2015,0.093,39868,0.271,5.5,10899.0
AZ,Graham County,1/1/2014,0.089,41080,0.339,4.3,8077.0
AZ,Graham County,1/1/2015,0.076,43497,0.35,4.3,7350.0
AZ,Greenlee County,1/1/2014,0.06,53312,0.342,3.7,6685.0
AZ,Greenlee County,1/1/2015,0.062,54673,0.354,3.7,7893.0
AZ,La Paz County,1/1/2014,0.092,35236,0.312,5.2,12621.0
AZ,La Paz County,1/1/2015,0.094,33994,0.32,5.2,13462.0
AZ,Maricopa County,1/1/2014,0.071,51442,0.228,3.2,6247.0
AZ,Maricopa County,1/1/2015,0.067,52066,0.226,3.2,6053.0
AZ,Mohave County,1/1/2014,0.099,34966,0.271,4.4,9828.0
AZ,Mohave County,1/1/2015,0.096,38560,0.266,4.4,10462.0
AZ,Navajo County,1/1/2014,0.152,34662,0.317,3.7,11848.0
AZ,Navajo County,1/1/2015,0.152,37182,0.312,3.7,12512.0
AZ,Pima County,1/1/2014,0.073,44745,0.241,3.5,7390.0
AZ,Pima County,1/1/2015,0.07,43926,0.221,3.5,7142.0
AZ,Pinal County,1/1/2014,0.089,50362,0.314,3.5,6588.0
AZ,Pinal County,1/1/2015,0.086,49887,0.302,3.5,6430.0
AZ,Santa Cruz County,1/1/2014,0.172,36660,0.201,2.9,5135.0
AZ,Santa Cruz County,1/1/2015,0.18,35753,0.205,2.9,4806.0
AZ,Yavapai County,1/1/2014,0.086,43397,0.234,4.1,7372.0
AZ,Yavapai County,1/1/2015,0.08,40486,0.259,4.1,7737.0
AZ,Yuma County,1/1/2014,0.275,39072,0.311,3.1,5843.0
AZ,Yuma County,1/1/2015,0.277,40498,0.312,3.1,5854.0
CA,Alameda County,1/1/2014,0.09,70209,0.207,3.2,5141.0
CA,Alameda County,1/1/2015,0.074,72128,0.205,3.2,4887.0
CA,Amador County,1/1/2014,0.118,51388,0.23,4.2,7504.0
CA,Amador County,1/1/2015,0.099,52357,0.248,4.2,6602.0
CA,Butte County,1/1/2014,0.122,40748,0.243,4.5,7944.0
CA,Butte County,1/1/2015,0.1,42395,0.244,4.5,7650.0
CA,Calaveras County,1/1/2014,0.13,50962,0.258,4.3,6938.0
CA,Calaveras County,1/1/2015,0.104,52598,0.243,4.3,7101.0
CA,Colusa County,1/1/2014,0.2,49871,0.226,2.6,5945.0
CA,Colusa County,1/1/2015,0.184,48897,0.223,2.6,5943.0
CA,Contra Costa County,1/1/2014,0.09,74208,0.237,3.4,5257.0
CA,Contra Costa County,1/1/2015,0.074,78909,0.224,3.4,5040.0
CA,Del Norte County,1/1/2014,0.134,37305,0.255,4.0,9671.0
CA,Del Norte County,1/1/2015,0.116,38663,0.255,4.0,9082.0
CA,El Dorado County,1/1/2014,0.104,68446,0.203,3.1,5170.0
CA,El Dorado County,1/1/2015,0.085,63002,0.21,3.1,5096.0
CA,Fresno County,1/1/2014,0.152,41563,0.294,3.7,7010.0
CA,Fresno County,1/1/2015,0.129,43741,0.285,3.7,6784.0
CA,Glenn County,1/1/2014,0.147,41201,0.268,3.1,6819.0
CA,Glenn County,1/1/2015,0.122,42129,0.259,3.1,6947.0
CA,Humboldt County,1/1/2014,0.105,39837,0.265,3.9,8293.0
CA,Humboldt County,1/1/2015,0.088,40882,0.257,3.9,8140.0
CA,Imperial County,1/1/2014,0.283,38185,0.235,3.8,5672.0
CA,Imperial County,1/1/2015,0.245,40106,0.221,3.8,5338.0
CA,Kern County,1/1/2014,0.133,45599,0.278,4.2,7631.0
CA,Kern County,1/1/2015,0.118,46688,0.28,4.2,7313.0
CA,Kings County,1/1/2014,0.153,45464,0.242,4.3,6372.0
CA,Kings County,1/1/2015,0.135,45794,0.237,4.3,6324.0
CA,Lake County,1/1/2014,0.15,35437,0.267,4.5,9804.0
CA,Lake County,1/1/2015,0.119,36973,0.265,4.5,10269.0
CA,Lassen County,1/1/2014,0.126,47480,0.256,4.1,6849.0
CA,Lassen County,1/1/2015,0.108,50487,0.241,4.1,6821.0
CA,Los Angeles County,1/1/2014,0.109,52929,0.213,3.7,5464.0
CA,Los Angeles County,1/1/2015,0.099,54443,0.213,3.7,5066.0
CA,Madera County,1/1/2014,0.136,42054,0.297,4.6,6694.0
CA,Madera County,1/1/2015,0.114,41223,0.276,4.6,6703.0
CA,Marin County,1/1/2014,0.063,88654,0.154,3.0,3782.0
